,text,intersection,coordinates.coordinates,created_at,place.bounding_box.coordinates,place.country,place.country_code,place.full_name,user.created_at,user.location
28,Closed due to road construction in #Southside on S Sam Houston Tollway EB between Hwy 288 and Cullen #traffic https://t.co/vuUN2yElDh,S Sam Houston Tollway EB between Hwy 288 and Cullen,"[-95.37297, 29.59789]",Sun Jan 13 16:06:35 +0000 2019,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",United States,US,"Houston, TX",Wed Feb 09 21:09:17 +0000 2011,"Houston, TX"
29,Road closed due to broken water main in #Phoenix on 7th Ave Both NB/SB at Deer Vly Rd #PHXtraffic https://t.co/hUIi7YWVvM,7th Ave Both NB/SB at Deer Vly Rd,"[-112.0829, 33.68369]",Sun Jan 13 15:48:59 +0000 2019,"[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]]",United States,US,"Phoenix, AZ",Wed Feb 09 22:48:40 +0000 2011,"Phoenix, AZ"
30,Oakley Brick Church of the Brethren is closed today due to weather and road conditions.,,,Sun Jan 13 14:06:43 +0000 2019,"[[[-89.028906, 39.785267], [-88.8444613, 39.785267], [-88.8444613, 39.9239031], [-89.028906, 39.9239031]]]",United States,US,"Decatur, IL",Mon Jan 09 00:16:49 +0000 2012,"Decatur, Illinois"
31,"Redeemer Church, 3431 Hamilton Middletown Road, is closed today. No services.",,,Sun Jan 13 14:04:55 +0000 2019,"[[[-84.6308679, 39.3015447], [-84.4692599, 39.3015447], [-84.4692599, 39.3923186], [-84.6308679, 39.3923186]]]",United States,US,"Fairfield, OH",Sat Oct 15 14:49:13 +0000 2016,"Fairfield, OH"
32,"❄Considering a delayed opening at noon today.  If we  receive additional snow this morning, we will stay closed. (A… https://t.co/XJP1odj2RL",,,Sun Jan 13 13:50:45 +0000 2019,"[[[-83.67529, 36.540739], [-75.16644, 36.540739], [-75.16644, 39.466012], [-83.67529, 39.466012]]]",United States,US,"Virginia, USA",Mon Jun 15 20:36:24 +0000 2015,"Edinburg, VA"
33,We’re closed today due to the snow and road conditions...hope you’re stocked up with plenty of wine! 📸 Kate Greer P… https://t.co/kn0DEnlVAM,,,Sun Jan 13 13:23:56 +0000 2019,"[[[-78.728108, 38.051152], [-78.651865, 38.051152], [-78.651865, 38.082472], [-78.728108, 38.082472]]]",United States,US,"Crozet, VA",Wed Jun 24 23:34:20 +0000 2009,"Crozet, Virginia"
34,Special Event on US 98 both dir. @ MP28 at Bankhead Tunnel in Mobile. Road closed. Seek alternate route. More detai… https://t.co/q5vNvevcwM,,"[-88.030776, 30.692962]",Sun Jan 13 12:45:41 +0000 2019,"[[[-88.301598, 30.523874], [-88.021513, 30.523874], [-88.021513, 30.843424], [-88.301598, 30.843424]]]",United States,US,"Mobile, AL",Thu Apr 25 12:37:19 +0000 2013,Alabama
35,"SBCO: SB I-215 at Barton Road, Grand Terrace, multi vehicle collision blocking lanes #1-4 and Barton off ramp is cl… https://t.co/MOeOfQ2wVL",,,Sun Jan 13 12:12:58 +0000 2019,"[[[-117.523867, 33.85216], [-117.271365, 33.85216], [-117.271365, 34.019484], [-117.523867, 34.019484]]]",United States,US,"Riverside, CA",Thu Nov 13 22:17:00 +0000 2008,Southern California
36,Closed due to road construction in #MiamiDade on 95 Express SB between Golden Glades Entrance and Downtown Miami Exit #SFLtraffic,,"[-80.21005, 25.91087]",Sun Jan 13 10:33:24 +0000 2019,"[[[-80.229746, 25.8922648], [-80.163078, 25.8922648], [-80.163078, 25.9299606], [-80.229746, 25.9299606]]]",United States,US,"Golden Glades, FL",Wed Feb 09 21:43:21 +0000 2011,"Miami, FL"
37,All eastbound lanes are closed due to snow and ice on the road. in #Valyermo on Angeles Crest Hwy EB between CA-39 and Big Pines Hwy,,"[-117.8511, 34.35686]",Sun Jan 13 10:18:32 +0000 2019,"[[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]]",United States,US,"California, USA",Wed Aug 12 21:43:18 +0000 2009,Southern California
